,glcm_mean,glcm_variance,glcm_autoCorrelation,glcm_cProminence,glcm_cShade,glcm_cTendency,glcm_contrast,glcm_correlation,glcm_differenceEntropy,glcm_dissimilarity,glcm_energy,glcm_entropy,glcm_homogeneity1,glcm_homogeneity2,glcm_IDMN,glcm_IDN,glcm_inverseVariance,glcm_maxProb,glcm_sumAverage,glcm_sumEntropy,glcm_sumVariance
image 1,-2.480725799,-0.970060158,-1.726415274,-0.344106555,0.51789367,-0.940088931,-0.835536801,0.700976255,-1.799929307,-1.349748384,1.842901683,-2.164592294,1.727170387,1.689700181,0.890782971,1.431207586,-1.812884856,2.314910494,-2.175419062,-1.771237824,-1.5862228
image 2,0.061414603,-0.587684149,-0.097761072,-0.38681443,0.10542868,-0.572640062,-0.419369062,0.225574053,0.088479784,-0.220812362,-0.279424143,0.035723366,-0.042264581,-0.040578192,0.44309941,0.208866688,0.331903381,-0.109994929,0.310528891,0.19093127,0.011711943
image 3,-0.09142729,-0.230606907,-0.189254192,-0.292679693,0.020921366,-0.223057852,-0.210456311,0.259190364,0.441523854,0.221790538,-0.399218715,0.603438628,-0.581438003,-0.596832044,0.218585598,-0.260390709,0.516219968,-0.330669432,0.165102241,0.643978156,-0.106352025
image 4,-0.881652396,-0.493882605,-0.930139056,-0.405415458,0.318558288,-0.49664187,0.077093243,-0.269363738,0.70953407,0.562358266,-0.431696777,0.731058925,-0.870587194,-0.875516675,-0.080484783,-0.597906783,0.715906833,-0.582445711,-0.608813719,0.502997136,-0.841608395
image 5,0.032322788,-0.134192565,-0.048214096,-0.208612329,-0.006866347,-0.139370556,0.144440117,0.033311079,0.771684855,0.66101479,-0.452705188,0.963263087,-0.964337415,-0.978249561,-0.150828048,-0.698747097,0.658642669,-0.659459632,0.283457757,0.766311796,0.027465587
image 6,-1.251491348,-0.688876202,-1.204348516,-0.439435489,0.409100902,-0.667848784,-0.586199185,0.375342382,-0.305304807,-0.518528248,-0.247649226,-0.189566234,0.249886937,0.276380926,0.621706236,0.519050637,0.485691324,-0.185724095,-0.971841069,0.106135225,-1.103020537
image 7,0.834808644,-0.317217805,0.870455287,-0.225730321,-0.047163952,-0.326389465,0.255866796,-0.226476452,0.835147257,0.716424618,-0.442239035,0.810071766,-0.957728252,-0.975588937,-0.258923443,-0.742757579,0.553946917,-0.628357856,1.072221954,0.586896589,0.979868965
image 8,0.002286148,0.079190078,-0.093486715,-0.198772415,-0.049335975,-0.068431978,4.116776684,-2.4189237,2.296286603,3.433195547,-0.483008259,1.654642193,-2.040665812,-2.0752431,-3.977709592,-3.185165035,-0.726978092,-0.706852814,0.256881564,0.783390367,0.012065825
image 9,-0.158136316,3.434337195,0.465277722,2.197319921,-0.333135231,3.46479692,-0.850447959,0.817828589,-2.038329926,-1.416853786,0.421387313,-1.241135898,1.862841039,1.816540346,0.90696892,1.505961441,-2.070149936,0.670511535,-0.118950998,-0.641128602,0.459735535
image 10,-0.662057531,0.755382677,-0.508535651,0.118946141,0.283078147,0.77928746,-0.666863915,0.733257123,-0.565589286,-0.717473631,-0.265531396,0.086706168,0.533185641,0.566087892,0.708307599,0.732898015,0.308110397,0.044032912,-0.406533383,0.591584607,-0.426905782
image 11,0.660829042,-0.061859034,0.705532136,-0.158294454,-0.123127166,-0.040431041,-0.597553576,0.62125715,-0.362336253,-0.439073028,-0.399393779,0.35555592,-0.008159425,0.057839617,0.633280307,0.424342125,1.295662689,-0.468405867,0.886210121,0.701236906,0.781153572
image 12,0.760541019,-0.169453379,0.812218714,-0.250084489,0.086075158,-0.150284317,-0.534526326,0.550647786,-0.325834476,-0.551919875,-0.34584369,0.18855851,0.410067228,0.447815386,0.568521292,0.568041264,0.358966149,-0.444709276,0.931314333,0.536461727,0.852835978
image 13,0.16984973,-0.711654348,-0.014689461,-0.478703509,0.209049616,-0.722041669,0.289883839,-1.063598935,0.857256872,0.769469393,-0.417795784,0.640835635,-1.018124604,-1.030516369,-0.289055068,-0.798024179,0.646544586,-0.598737118,0.420986867,0.285855073,0.097261019
image 14,2.319897467,-0.684966705,2.161512105,-0.426802839,0.081943735,-0.655298097,-0.82718089,0.750240882,-1.997638426,-1.403339193,1.39604819,-2.267649976,1.911147554,1.841549937,0.871405343,1.476689428,-2.43861841,1.371042005,-2.659656582,-3.701989602,-1.547775841
image 15,-0.821952651,-0.435960048,-0.869032851,-0.405717359,0.182441943,-0.42347508,-0.34804617,0.262086844,0.181473521,-0.006943938,-0.413752107,0.45712219,-0.432244237,-0.410252367,0.290942829,-0.131119084,0.990479938,-0.564673268,-0.554477778,0.533476311,-0.787903159
image 16,-0.640941795,-0.468464704,-0.740673575,-0.405309788,0.230146001,-0.474102115,0.157349904,-0.322523543,0.687230904,0.537018405,-0.428523002,0.740908748,-0.814889356,-0.802167807,-0.149466866,-0.556316732,0.885811322,-0.609104376,-0.37307105,0.54084467,-0.654130373
image 17,-0.221131961,-0.631496756,-0.390741217,-0.453875539,0.326726145,-0.613658818,-0.497269564,0.292286967,-0.23365011,-0.457655593,-0.319622229,0.013681956,0.246849978,0.295459074,0.529094605,0.466222526,0.655033969,-0.42841787,0.036654227,0.33019624,-0.295500997
image 18,1.287357756,-0.561240406,1.474248876,-0.136838814,-0.125370283,-0.538406079,-0.636626543,0.522907979,-0.468616139,-0.652603588,-0.251760935,-0.253049607,0.449109239,0.482176455,0.675892579,0.663998598,0.374756753,-0.241807216,1.515431083,0.15337611,1.64011748
image 19,-0.614508673,-0.497295755,-0.716062854,-0.42494603,0.290227168,-0.480837439,-0.458834723,0.343628341,-0.008280553,-0.148509293,-0.400809372,0.356404824,-0.333829649,-0.294662869,0.483941492,0.116799892,1.190161339,-0.532090455,-0.352864536,0.485645165,-0.636322905
image 20,-0.73553414,-0.630654645,-0.842823179,-0.456043568,0.369909179,-0.62409061,-0.182869617,-0.148805267,0.310651682,0.027180408,-0.323873721,0.220696484,-0.285556843,-0.262786074,0.209901099,-0.03421872,0.702649948,-0.176641591,-0.465711141,0.240290254,-0.74354994
image 21,-0.321019719,-0.462437631,-0.483450306,-0.434717914,0.167903236,-0.525076478,1.746971744,-2.064608805,1.691251572,2.201340454,-0.47002759,1.240326415,-1.779750781,-1.841018098,-1.954780148,-2.28017302,-0.344518333,-0.714257998,-0.061128948,0.522180922,-0.385530559
image 22,-1.112497267,-0.445378545,-1.078714331,-0.119610072,0.707566411,-0.427787223,-0.490446521,0.408941148,-0.200323761,-0.45393908,-0.003286634,-0.663760032,0.321482696,0.352238324,0.492943108,0.427563388,0.295521855,0.257302231,-0.93108503,-0.480305404,-1.02389905
image 23,0.187098276,-0.885087082,-0.225582806,-0.538918778,0.261299377,-0.868652861,-0.458049337,-0.180250589,-0.686227069,-0.784370863,0.121370859,-0.874521048,1.088802352,1.061240145,0.471788861,0.826460491,-1.278639547,0.18028831,0.422579286,-0.575473203,0.12408849
image 24,-0.774821274,2.220556928,-0.331142321,1.156794491,0.764004148,2.196633063,0.66652565,0.44067613,0.514818126,0.283281933,-0.281899546,0.296220207,-0.057108426,-0.037690294,-0.54079265,-0.188817065,0.095151845,-0.175160554,-0.526911702,0.415689996,-0.221486152
image 25,1.539683692,-0.717633425,1.833708102,-0.309200251,-0.002560295,-0.688504,-0.812134947,0.721090776,-1.553622184,-1.265901488,0.283007033,-1.041794845,1.577073982,1.544282828,0.865441371,1.338857808,-1.598720851,0.777842103,1.72476686,-0.473010938,2.046766974
image 26,0.131705175,0.200096636,0.112715095,-0.224240677,0.080084806,0.168908614,0.869695264,-0.215133477,1.156868337,1.037058322,-0.437974819,1.031064595,-0.924002865,-0.946522125,-0.842592998,-1.003959352,0.111099289,-0.495064532,0.376528231,0.712552511,0.198534598
image 27,-0.334225294,-0.066664106,-0.394484869,-0.28049909,0.229590001,-0.06693897,0.00768473,0.178535222,0.587553879,0.393425861,-0.443243474,0.862143345,-0.698823653,-0.685254199,-0.002012664,-0.417827482,0.854688731,-0.616509561,-0.072684751,0.788358823,-0.319207088
image 28,-0.668012125,-0.298940675,-0.74224517,-0.37924363,0.317014037,-0.337037414,1.062507597,-0.940353455,1.273156603,1.256670448,-0.449388157,1.019079937,-1.093656313,-1.100105443,-1.053599814,-1.218523593,0.318000954,-0.652054447,-0.399582686,0.613936602,-0.651779019
image 29,0.210592246,-0.290937756,0.126356408,-0.310544928,0.061171122,-0.264597021,-0.734490315,0.696400212,-0.879632217,-0.921813208,-0.270122632,-0.121825704,0.867353776,0.894183286,0.781311108,0.955701329,-0.094802448,-0.101690504,0.459819336,0.502077281,0.219501381
image 30,1.908613029,4.329117299,-0.653333078,2.855894701,-4.323030119,4.358958621,-0.833463981,0.815901763,-2.228176069,-1.460100481,2.22289197,-2.691530849,2.01846043,1.948475576,0.82078312,1.48099008,-2.560511622,1.901253228,-2.811044047,-3.971615148,-1.679678951
image 31,0.07875104,1.025333415,0.235925995,0.308608218,0.010880202,1.045238019,-0.555388149,0.701675547,-0.240865438,-0.444141,-0.401230657,0.4302363,0.128575899,0.171880103,0.58852191,0.439206748,0.790929102,-0.560230157,0.306203535,0.894350818,0.290393236
image 32,0.064820367,0.150764243,0.047025412,-0.108915061,0.151744954,0.159923375,-0.255468762,0.441217985,0.339794807,0.182260355,-0.45077689,0.804644875,-0.633913187,-0.630533276,0.26776382,-0.224514121,0.887936794,-0.681675186,0.268415847,0.856387778,0.070829911
image 33,1.121617906,0.130752902,1.365379299,0.680193812,-0.965885423,0.150973158,-0.563929225,0.628452031,-0.404548075,-0.523877095,-0.127756104,-0.478675856,0.219408958,0.285227718,0.600938896,0.52869906,0.99830932,0.081058835,1.347430808,-0.266590807,1.571166738
image 34,-0.392343006,-0.30972515,-0.493320308,-0.358838126,0.298127391,-0.306566892,-0.087985137,0.098575331,0.503966861,0.393763726,-0.441338267,0.767054146,-0.825155727,-0.821713724,0.093692346,-0.436353373,0.962672082,-0.644649262,-0.132443527,0.652680009,-0.415843583
